DESCRIPTION,DTEND,DTSTAMP,DTSTART,EXDATE,RRULE,SUMMARY,UID
,2025-10-16,2025-08-19 17:42:59,2025-10-15,,,Early Dismissal 11:45 AM (K-8),2156516@school.stannpv.org
"Every 4th Monday of the month, St. Ann Parish serves the hungry a hot lunch at the St. Mary's Food Kitchen",2025-08-25 09:30:00,2025-08-19 17:42:59,2025-08-25 08:30:00,"vDDDLists([vDDDTypes(2023-12-25 08:30:00, Parameters({}))])","vRecur({'FREQ': ['MONTHLY'], 'BYDAY': ['MO'], 'BYSETPOS': [4]})",St. Mary's Food Kitchen,2160836@school.stannpv.org
,2025-08-21 19:00:00,2025-08-19 17:42:59,2025-08-21 18:00:00,,,K - 8 Back to School Night,2391417@school.stannpv.org
,2025-09-02,2025-08-19 17:42:59,2025-09-01,,,Closed YCC & School| Labor Day,2391484@school.stannpv.org
,2025-10-17,2025-08-19 17:42:59,2025-10-16,,,YCC & K-8 Fall Conferences | No School,2391501@school.stannpv.org
,2025-10-18,2025-08-19 17:42:59,2025-10-17,,,No School | YCC & K-8,2391504@school.stannpv.org
,2025-11-25,2025-08-19 17:42:59,2025-11-24,,,Thanksgiving Break | YCC & K-8,2391509@school.stannpv.org
,2026-04-25,2025-08-19 17:42:59,2026-04-24,,,No School | YCC & K-8,2391576@school.stannpv.org
,2026-05-20,2025-08-19 17:42:59,2026-05-19,,,Last Day of School Grades 1-7,2391598@school.stannpv.org
,2025-11-07 12:45:00,2025-08-19 17:42:59,2025-11-07 11:45:00,,,Early Dismissal (K-8),2395380@school.stannpv.org
