All Day Event,Start Date,Start Time,End Date,End Time,My Summary,X-MICROSOFT-CDO-BUSYSTATUS,Alarm Hours Before 1,Alarm Hours Before 2
FALSE,8/14/2025,9:30 AM,8/14/2025,5:00 PM,St Ann: First Day of School K 9:30 AM Dismissal,FREE,,
FALSE,8/15/2025,11:30 AM,8/15/2025,5:00 PM,St Ann: K- 8 1/2 Day School Dismissal 11:45 AM,FREE,,
FALSE,8/18/2025,7:30 AM,8/18/2025,2:45 PM,St Ann: First Full Day K-8,FREE,,
FALSE,8/19/2025,7:00 PM,8/19/2025,8:00 PM,St Ann: PTO Meeting,FREE,,
FALSE,8/21/2025,6:00 PM,8/21/2025,7:00 PM,St Ann: K - 8 Back to School Night,OOF,,
FALSE,8/25/2025,11:30 AM,8/25/2025,12:00 PM,St Ann: Chick-Fil-A Monday,FREE,24,48
FALSE,8/26/2025,6:00 PM,8/26/2025,9:00 PM,St Ann: VIRTUS Training,OOF,,
FALSE,8/27/2025,5:00 PM,8/27/2025,8:00 PM,St Ann: Culver's Spirit Night,FREE,,
TRUE,9/1/2025,,9/2/2025,,St Ann: Closed YCC & School| Labor Day,OOF,,
FALSE,9/5/2025,7:30 AM,9/5/2025,8:00 AM,St Ann: Spirit Day & Spirit Day Cafe,FREE,,
FALSE,9/8/2025,11:30 AM,9/8/2025,12:00 PM,St Ann: Chick-Fil-A Monday,FREE,24,48
FALSE,9/16/2025,7:00 PM,9/16/2025,8:00 PM,St Ann: PTO Meeting,FREE,,
FALSE,9/18/2025,5:00 PM,9/18/2025,9:00 PM,St Ann: Wing Stand Spirit Night,FREE,,
TRUE,9/19/2025,,9/20/2025,,St Ann: K-8 No School - School of Faith,OOF,,
TRUE,9/19/2025,,9/20/2025,,St Ann: 1st Quarter Progress Reports,FREE,,
FALSE,9/22/2025,11:30 AM,9/22/2025,12:00 PM,St Ann: Chick-Fil-A Monday,FREE,24,48
FALSE,9/23/2025,7:00 AM,9/23/2025,8:00 AM,St Ann: Picture Day,FREE,,
FALSE,9/30/2025,9:15 AM,9/30/2025,10:30 AM,St Ann: Happy Bear - K and 1st Grade,FREE,,
TRUE,10/3/2025,,10/4/2025,,St Ann: YCC & K-8 No School,OOF,,
TRUE,10/4/2025,,10/5/2025,,St Ann: Ave St. Ann - A Night to Remember (used to be called Fall Festival),OOF,,
