All Day Event,Start Date,Start Time,End Date,End Time,Subject
FALSE,8/12/2025,4:00 PM,8/12/2025,5:00 PM,Popsicle Party / Student Supply Drop Off 4:00pm - 5:00pm
FALSE,8/14/2025,9:30 AM,8/14/2025,5:00 PM,First Day of School - 11:45am Dismissal; Kindergarten dismissal at 9:30am on south side only
FALSE,8/15/2025,11:45 AM,8/15/2025,5:00 PM,11:45am Dismissal
FALSE,8/18/2025,7:45 AM,8/18/2025,2:45 PM,First Full Day of school
FALSE,8/21/2025,6:00 PM,8/21/2025,10:00 PM,Back to School Night 6:00pm
TRUE,9/1/2025,,9/1/2025,,No School / Labor Day
TRUE,9/19/2025,,9/19/2025,,No School / School of Faith
TRUE,10/3/2025,,10/3/2025,,No School / Fall Festival Set-up
TRUE,10/4/2025,,10/4/2025,,Fall Festival
FALSE,10/15/2025,11:45 AM,10/15/2025,5:00 PM,11:45 Dismissal / Preparation for Conferences
TRUE,10/16/2025,,10/16/2025,,No School / Conferences
TRUE,10/17/2025,,10/17/2025,,No School
FALSE,11/7/2025,11:45 AM,11/7/2025,5:00 PM,11:45am Dismissal / School of Faith
TRUE,11/24/2025,,11/28/2025,,Thanksgiving Break
FALSE,12/19/2025,11:45 AM,12/19/2025,5:00 PM,11:45am Dismissal *Christmas break begins*
TRUE,12/22/2025,,1/5/2026,,Christmas Break
TRUE,1/6/2026,,1/6/2026,,School Resumes
TRUE,1/19/2026,,1/19/2026,,"No School / Martin Luther King, Jr. Day"
FALSE,1/30/2026,11:45 AM,1/30/2026,5:00 PM,11:45am Dismissal / School of Faith
FALSE,2/12/2026,11:45 AM,2/12/2026,5:00 PM,11:45am Dismissal / Conference Preparations
TRUE,2/13/2026,,2/13/2026,,No School / Spring Conferences
TRUE,2/16/2026,,2/16/2026,,No School / President's Day
FALSE,2/27/2026,11:45 AM,2/27/2026,5:00 PM,11:45 Dismissal / School of Faith
FALSE,3/13/2026,11:45 AM,3/13/2026,5:00 PM,11:45am Dismissal / School of Faith
TRUE,3/16/2026,,3/20/2026,,Spring Break
TRUE,3/23/2026,,3/23/2026,,Classes Resume
TRUE,4/2/2026,,4/2/2026,,No School / Holy Thursday
TRUE,4/3/2026,,4/3/2026,,No School / Good Friday
TRUE,4/6/2026,,4/6/2026,,No School / Easter Monday
TRUE,4/24/2026,,4/24/2026,,No School / School of Faith
TRUE,5/7/2026,,5/7/2026,,Last full day for 8th graders
TRUE,5/8/2026,,5/8/2026,,8th graders Clap Out
TRUE,5/13/2026,,5/13/2026,,8th Grade Graduation 7pm
FALSE,5/19/2026,9:30 AM,5/19/2026,5:00 PM,Last Day of School - 9:30am Dismissal
